Date Time Byte0 Byte1 Byte2 Byte3 Byte4 Byte5 Byte6
2014-12-14 15:15:40.601203 181 0 6 1 2 66
2014-12-14 15:15:40.744853 213 0 0 106 0 193
2014-12-14 15:15:40.898339 181 0 7 1 1 66
2014-12-14 15:15:41.041544 213 0 0 106 0 193
2014-12-14 15:15:41.195563 181 0 1 1 0 73
2014-12-14 15:15:41.338246 213 0 0 106 0 193
2014-12-14 15:15:41.636123 213 0 0 106 0 193
2014-12-14 15:15:41.790147 181 0 4 1 0 70
2014-12-14 15:15:41.931727 213 0 0 106 0 193
2014-12-14 15:15:42.087369 181 0 5 1 30 39
2014-12-14 15:15:42.228433 213 0 0 106 0 193
2014-12-14 15:15:42.384589 181 0 6 2 2 65
2014-12-14 15:15:42.525089 213 0 0 106 0 193
2014-12-14 15:15:42.674127 181 0 7 2 1 65
2014-12-14 15:15:42.821678 213 0 0 106 0 193
2014-12-14 15:15:43.119890 213 0 0 106 0 193
2014-12-14 15:15:43.268647 181 0 1 2 0 72
2014-12-14 15:15:43.415073 213 0 0 106 0 193
2014-12-14 15:15:43.713365 213 0 0 106 0 193
2014-12-14 15:15:43.863338 181 0 4 2 0 69
2014-12-14 15:15:44.008605 213 0 0 106 0 193
2014-12-14 15:15:44.306970 213 0 0 106 0 193
2014-12-14 15:15:44.457958 181 0 5 2 30 38
2014-12-14 15:15:44.602047 213 0 0 106 0 193
2014-12-14 15:15:44.755185 181 0 6 2 2 65
2014-12-14 15:15:44.898632 213 0 0 106 0 193
2014-12-14 15:15:45.196899 213 0 0 106 0 193
2014-12-14 15:15:45.349858 181 0 7 2 1 65
2014-12-14 15:15:45.492123 213 0 0 106 0 193
2014-12-14 15:15:45.646941 181 0 1 2 0 72
2014-12-14 15:15:45.788855 213 0 0 106 0 193
2014-12-14 15:15:45.944245 181 0 4 2 0 69
2014-12-14 15:15:46.085605 213 0 0 106 0 193
2014-12-14 15:15:46.384007 213 0 0 106 0 193
2014-12-14 15:15:46.538864 181 0 5 2 30 38
2014-12-14 15:15:46.679048 213 0 0 106 0 193
2014-12-14 15:15:46.836106 181 0 6 2 2 65
2014-12-14 15:15:46.975624 213 0 0 106 0 193
2014-12-14 15:15:47.123439 181 0 7 2 1 65
2014-12-14 15:15:47.272428 213 0 0 106 0 193
2014-12-14 15:15:47.570645 213 0 0 106 0 193
2014-12-14 15:15:47.719883 181 0 1 3 0 71
2014-12-14 15:15:47.865798 213 0 0 106 0 193
2014-12-14 15:15:48.017326 181 0 4 3 0 68
2014-12-14 15:15:48.162662 213 0 0 106 0 193
2014-12-14 15:15:48.460928 213 0 0 106 0 193
2014-12-14 15:15:48.611847 181 0 5 3 30 37
2014-12-14 15:15:48.756073 213 0 0 106 0 193
2014-12-14 15:15:48.909005 181 0 6 3 2 64
2014-12-14 15:15:49.052779 213 0 0 106 0 193
2014-12-14 15:15:49.351042 213 0 0 106 0 193
2014-12-14 15:15:49.503600 181 0 7 3 1 64
2014-12-14 15:15:49.646158 213 0 0 106 0 193
2014-12-14 15:15:49.800828 181 0 1 3 0 71
2014-12-14 15:15:49.942930 213 0 0 106 0 193
2014-12-14 15:15:50.241273 213 0 0 106 0 193
2014-12-14 15:15:50.390029 181 0 4 1 0 70
2014-12-14 15:15:50.536401 213 0 0 106 0 193
2014-12-14 15:15:50.691722 181 0 5 0 30 40
2014-12-14 15:15:50.833062 213 0 0 106 0 193
2014-12-14 15:15:51.131260 213 0 0 106 0 193
2014-12-14 15:15:51.280781 181 0 6 0 2 67
2014-12-14 15:15:51.426400 213 0 0 106 0 193
2014-12-14 15:15:51.578004 181 0 7 0 1 67
2014-12-14 15:15:51.723079 213 0 0 106 0 193
2014-12-14 15:15:52.021554 213 0 0 106 0 193
2014-12-14 15:15:52.177040 181 0 1 0 0 74
2014-12-14 15:15:52.316662 213 0 0 106 0 193
2014-12-14 15:15:52.464438 181 0 4 0 0 71
2014-12-14 15:15:52.613307 213 0 0 106 0 193
2014-12-14 15:15:52.911567 213 0 0 106 0 193
2014-12-14 15:15:53.058870 181 0 5 0 30 40
2014-12-14 15:15:53.206628 213 0 0 106 0 193
2014-12-14 15:15:53.504890 213 0 0 106 0 193
2014-12-14 15:15:53.653508 181 0 6 0 2 67
2014-12-14 15:15:53.800024 213 0 0 106 0 193
2014-12-14 15:15:53.950705 181 0 7 0 1 67
2014-12-14 15:15:54.096774 213 0 0 106 0 193
2014-12-14 15:15:54.395059 213 0 0 106 0 193
